question_id,bias1,bias2,redundancy,unique1,unique2,synergy
tensor([588598]),0.5672362469734435,0.4327637530265564,0.7111969085071945,0.33037128339339433,0.2520514463882964,0.09606155369501979
tensor([1867346]),0.45689813850678385,0.5431018614932162,0.8106020385256669,0.27714053692920565,0.3294290976833258,0.27857086103143613
tensor([1932289]),0.3147070541766558,0.6852929458233442,0.8364604827766293,0.17357230196153678,0.37796380013074343,0.1277113672168042
tensor([145254]),0.32941063463373244,0.6705893653662676,0.7353974202822697,0.17352291974306067,0.3532448937369098,0.07994794515216075
tensor([148184]),0.6202030128461692,0.3797969871538308,0.546275472630819,0.39685039648078746,0.24302136850726727,0.18277512312134592
tensor([1545923]),0.4077771961521044,0.5922228038478957,0.6074235230239882,0.27263769405329286,0.395957059714146,0.001015982674712479
tensor([165939]),0.23740585674378756,0.7625941432562124,0.6940256082692031,0.09588257222115461,0.3079936148968099,0.27102056535305175
tensor([1827487]),0.5602535351372562,0.43974646486274377,0.8987398195923841,0.22107158631587737,0.1735204554134393,0.12724006462500403
tensor([1397013]),0.0760759764185578,0.9239240235814422,0.9552642213300704,0.031088255252198656,0.37755921423483196,0.002799361238102982
tensor([617715]),0.5921931650246107,0.40780683497538933,0.7346133774671941,0.3464458821989663,0.23857586857481802,0.001253214908343736
tensor([1882966]),0.5001398534800447,0.4998601465199553,0.8425343900008853,0.23866370116926985,0.23853022670633064,0.17444682041282267
tensor([801404]),0.6185986865361177,0.3814013134638822,0.8001561261147787,0.2811519917620853,0.17334621180897872,0.23952080860346614
tensor([1714033]),0.3668112854425629,0.6331887145574371,0.6690032476337306,0.23861369254913103,0.41189435346488484,0.001377049501575467
tensor([552447]),0.30156502188969997,0.6984349781103,0.4434978821189792,0.24946694118955248,0.5777740286892327,0.0022894845918608464
tensor([1477314]),0.5673093339037798,0.4326906660962202,0.5974860750115221,0.4035499791211075,0.30779029857922874,0.060096008028361014
tensor([1590577]),0.4246099442439557,0.5753900557560444,0.7418494953504666,0.22113975393575447,0.29966706402397914,0.37907839887732053
tensor([1006474]),0.21632576485945637,0.7836742351405436,0.9152186974527505,0.13857127919896692,0.5019963355231842,0.053651600259198684
tensor([1720287]),0.4999839982640607,0.5000160017359393,0.5616115172832128,0.41183879971810683,0.4118651611046532,0.0009788830139179083
tensor([1642076]),0.5000000000000046,0.4999999999999954,1.059560334389914,0.17978205777128628,0.17978205777128298,0.0014474760142209053
tensor([1072668]),0.5000489594018722,0.49995104059812784,0.90803347315939,0.23856055257819048,0.23851383802456558,0.17447329249773058
tensor([1972007]),0.44921168663883604,0.550788313361164,0.8509397607314098,0.3181173142603212,0.39005062464747914,0.11712723949552029
tensor([398352]),0.21512349537882589,0.7848765046211741,0.6925443200360601,0.0871912166893829,0.31811651845987093,0.23180929366944425
tensor([187378]),0.30496957975599537,0.6950304202440046,0.9044278108151822,0.18711633611627115,0.4264410431672036,0.0013974745436446945
